# x,y,Bx,By,Bz,Psi
1698.03,1713.69,0.0761162,-0.034219,0,1.15413
1699.27,1656.06,0.0785083,-0.0370587,0,1.24779
1732.98,1679.02,0.0747603,-0.0361737,0,1.2073
1656.34,1676.18,0.0833861,-0.0331962,0,1.24585
1665.56,1633.11,0.0837165,-0.0365407,0,1.27478
1630.54,1648.15,0.0891077,-0.0322625,0,1.28652
1631.84,1610.15,0.0983728,-0.045747,0,1.37342
1644.07,1714.63,0.0788631,-0.0285461,0,1.18565
1663.07,1748.36,0.0757936,-0.032046,0,1.15284
1592.24,1634.39,0.0952798,-0.0224447,0,1.30547
1606.72,1686.93,0.0842796,-0.0239966,0,1.2269
1607.04,1741.36,0.0792525,-0.0233504,0,1.18965
1598.13,1587.19,0.120253,-0.0437312,0,1.42268
1628.12,1783.04,0.0689657,-0.0294479,0,1.103
1556.89,1598.51,0.148647,-0.0179636,0,1.44561
1562.5,1671.76,0.0959612,-0.015018,0,1.30186
1586.88,1780.68,0.0683942,-0.0216238,0,1.12319
1565.14,1715.64,0.0823833,-0.0154803,0,1.21227
1564.42,1564.24,0.144622,-0.0236333,0,1.44288
1551.53,1634.91,0.1021,-0.00806631,0,1.32512
1593.16,1817.71,0.0638745,-0.0243438,0,1.0923
1556.53,1758.21,0.0735301,-0.0157318,0,1.16296
1518.3,1566.23,0.160744,0.0186766,0,1.46045
1526.62,1697.03,0.0838352,-0.00347964,0,1.23106
1516.76,1605.45,0.147466,0.0155231,0,1.42922
1520.35,1652.46,0.0986025,0.00507704,0,1.31884
1543.56,1805.61,0.0667991,-0.0148972,0,1.12983
1511.18,1739.83,0.0799154,-0.00323215,0,1.21192
1558.21,1852.38,0.0565455,-0.0205873,0,1.06282
1526.66,1772.51,0.0671509,-0.0113627,0,1.1386
1496.15,1707.99,0.0799925,0.00163198,0,1.22033
1472.18,1568.22,0.134208,0.0517904,0,1.42343
1523.25,1887.05,0.051792,-0.0170021,0,1.04849
1504.42,1838.15,0.0567747,-0.0126871,0,1.08101
1483.33,1677.39,0.0918754,0.0149496,0,1.29496
1481.38,1628.2,0.100276,0.0210979,0,1.32598
1495.36,1786.4,0.0659252,-0.00538392,0,1.14345
1466.26,1722.57,0.0766673,0.00821716,0,1.21808
1488.3,1921.72,0.0458337,-0.0124463,0,1.02639
1478.55,1882.95,0.0536543,-0.0095943,0,1.07076
1471.76,1756.55,0.0701672,0.00177331,0,1.17576
1443.89,1609.22,0.101719,0.0553711,0,1.36088
1453.34,1956.4,0.0437776,-0.00876829,0,1.01995
1451.47,1919.22,0.0458903,-0.00830888,0,1.03145
1453.27,1850.93,0.0546864,-0.00515853,0,1.08356
1437.78,1702.6,0.0730297,0.0126247,0,1.21379
1438.3,1660.06,0.0842451,0.0308834,0,1.29482
1462.28,1813,0.0626916,-0.00104843,0,1.13503
1443.15,1742.71,0.0730735,0.00959329,0,1.20599
1445.17,1780.05,0.0635701,0.00130909,0,1.14477
1426.06,1570.21,0.0958851,0.0749481,0,1.3807
1408.19,1941.18,0.0458106,-0.00312854,0,1.03488
1424.58,1888.75,0.0516297,-0.0024829,0,1.07061
1413.18,1809.48,0.0606847,0.00442895,0,1.13641
1401.56,1619.41,0.0778707,0.0517786,0,1.31159
1418.39,1991.07,0.0382798,-0.0062169,0,0.991747
1383.43,2025.74,0.0359691,-0.0022165,0,0.978687
1364.26,1984.95,0.0391261,-0.000279233,0,0.995258
1412.68,1849.74,0.0536144,-0.000482455,0,1.08489
1400.53,1748.22,0.0653727,0.0130467,0,1.1824
1399.7,1696.17,0.0673501,0.0202139,0,1.21309
1379.94,1572.2,0.0630607,0.0719817,0,1.33084
1394.53,1660.2,0.071045,0.0368991,0,1.27101
1333.29,2024.17,0.0378295,0.00227236,0,0.985643
1377.81,1904.24,0.0463881,0.00104717,0,1.04061
1377.94,1864.98,0.0525959,0.00345826,0,1.08401
1348.48,2060.41,0.0329266,0.000162158,0,0.959573
1376.39,1828.99,0.0546916,0.00542044,0,1.10245
1359.27,1605.53,0.0516405,0.0639064,0,1.30332
1362.22,1644.81,0.0618564,0.0374557,0,1.25591
1365.65,1685.63,0.0643377,0.0280081,0,1.22864
1359.86,1939.63,0.0453364,0.00159258,0,1.03345
1315.74,1993.22,0.0394604,0.00429768,0,0.992952
1305.1,2060.25,0.033588,0.00403544,0,0.958485
1359.22,1722.11,0.061575,0.0201352,0,1.19537
1367.36,1793.2,0.0580755,0.0103383,0,1.13734
1334.02,1574.21,0.0331759,0.0601606,0,1.28589
1318.62,1617.04,0.0399108,0.0418627,0,1.25262
1282.73,2020.45,0.0378076,0.00637174,0,0.980199
1321.75,1953.09,0.043462,0.00498859,0,1.01939
1325.21,1909.75,0.0460024,0.00495092,0,1.03686
1340.38,1831.6,0.0523838,0.00786172,0,1.08861
1341.95,1873.69,0.0512494,0.00679939,0,1.07762
1351.98,1757.29,0.0582609,0.0149342,0,1.1576
1314.79,1663.62,0.051478,0.0312421,0,1.23272
1326.91,1702.92,0.0573623,0.0211986,0,1.18953
1283.31,1976.09,0.0402367,0.00754669,0,0.993311
1305.45,1864.38,0.0512442,0.00962205,0,1.0774
1261.72,2060.1,0.0339653,0.00717296,0,0.955519
1314.31,1743.08,0.0560184,0.0181793,0,1.16796
1324.92,1787.41,0.0562156,0.0124967,0,1.13165
1288.11,1576.21,0.0180995,0.0375426,0,1.25627
1285.72,1636.67,0.0478737,0.0257654,0,1.22155
1246.33,1995.04,0.0400674,0.0105613,0,0.986187
1279.06,1932.61,0.0458197,0.00938164,0,1.02906
1286.36,1895.77,0.0477986,0.00935929,0,1.04719
1241.34,2030.75,0.0357085,0.00951947,0,0.96173
1287.74,1821.52,0.0531052,0.0125093,0,1.09997
1278.39,1608.04,0.0217966,0.0292847,0,1.24445
1288.61,1700.13,0.0545579,0.0189211,0,1.17513
1267.33,1663.6,0.046883,0.0224003,0,1.21415
1254.25,1962.1,0.0425722,0.0101206,0,1.00457
1267.12,1860.22,0.0512046,0.0120006,0,1.07254
1197.58,2018.23,0.0387756,0.0141804,0,0.970041
1218.34,2059.94,0.0342934,0.0114292,0,0.949487
1271.57,1777.64,0.0547752,0.0146806,0,1.12224
1248.29,1626.23,0.0424903,0.016571,0,1.21413
1242.19,1578.22,0.0172538,0.0123872,0,1.23952
1269.62,1735.52,0.0538373,0.0178505,0,1.16737
1215.72,1976.97,0.0407394,0.0132816,0,0.984206
1251.24,1892,0.0485043,0.0120443,0,1.04665
1232.47,1937.67,0.0462792,0.0130618,0,1.02274
1245.38,1822.19,0.053143,0.0141027,0,1.09324
1246.87,1697.42,0.0531971,0.0165311,0,1.16957
1219.73,1657.54,0.0481729,0.0111388,0,1.20472
1228.62,1864.59,0.0519056,0.0148634,0,1.06526
1178.44,1986.63,0.0405789,0.0162766,0,0.975567
1174.96,2059.78,0.0343807,0.0143722,0,0.943916
1230.11,1746.9,0.0550479,0.0156584,0,1.14407
1223.32,1785.75,0.0560168,0.0160398,0,1.11075
1206.25,1620.19,0.0424458,0.0028689,0,1.2165
1185.6,1958.27,0.0438826,0.0158837,0,0.997748
1220.29,1905.28,0.0470739,0.0146839,0,1.02383
1149.67,2003.55,0.0406092,0.0190385,0,0.96863
1153.35,2036.62,0.0353714,0.0170914,0,0.943826
1131.58,2059.62,0.0341703,0.0188621,0,0.933668
1198.25,1830.53,0.0541851,0.0171252,0,1.07301
1196.27,1580.22,0.0315207,-0.0060243,0,1.23894
1206.03,1704.78,0.0559177,0.014355,0,1.15993
1176.66,1641.33,0.0542602,0.0042643,0,1.20101
1187.5,1917.32,0.047102,0.0174522,0,1.01357
1189.46,1877.33,0.0526912,0.0181525,0,1.05165
1144.26,1968.41,0.0418648,0.0196608,0,0.974303
1109.02,2022.74,0.0382772,0.0225662,0,0.947419
1187.16,1752.34,0.0577249,0.015393,0,1.13109
1186.67,1791.95,0.0582371,0.0174517,0,1.10312
1173.37,1608.22,0.0407447,-0.00909083,0,1.23389
1182.33,1676.23,0.0547525,0.00636888,0,1.19313
1141.23,1932.15,0.0479845,0.0216256,0,1.00388
1109.35,1971.46,0.0417381,0.0230485,0,0.964659
1088.2,2059.46,0.0337464,0.0222986,0,0.924844
1164.47,1810.62,0.0584743,0.018859,0,1.08739
1149.29,1582.28,0.0473252,-0.0197993,0,1.24538
1165.23,1711.22,0.0623801,0.0133877,0,1.15009
1137.53,1624.03,0.0620029,-0.00800064,0,1.2153
1147.95,1669.29,0.0621433,0.00151476,0,1.19567
1155.97,1893.22,0.0505385,0.0198586,0,1.02716
1152.64,1847.38,0.0549391,0.0212077,0,1.04846
1057.32,2028.71,0.0364223,0.0282224,0,0.926846
1159.68,1779.36,0.0607241,0.0190909,0,1.09726
1137.01,1749.14,0.0656941,0.0164826,0,1.1241
1114.44,1887.66,0.0537629,0.0260292,0,1.01823
1092.02,1930.37,0.049105,0.027818,0,0.988989
1073.18,1997.96,0.0405791,0.0276603,0,0.947946
1130.27,1800.07,0.0638788,0.0215207,0,1.09053
1102.31,1584.33,0.071789,-0.0346914,0,1.26223
1126.08,1698,0.0705273,0.0125661,0,1.14939
1112.67,1657.33,0.0736503,-0.0024276,0,1.20074
1062.78,1965.31,0.0423066,0.0294672,0,0.951805
1026.45,1997.96,0.0398536,0.0327528,0,0.934233
1106.08,1837.81,0.0576704,0.0267631,0,1.03521
1100.37,1627.37,0.0813806,-0.00700496,0,1.20927
1091.07,1719.71,0.0785707,0.0168654,0,1.1378
1073.82,1900.27,0.0522015,0.0303784,0,0.995166
1050.88,1924.13,0.0495578,0.0328503,0,0.976729
1091.82,1806.89,0.0678856,0.0263882,0,1.07584
1089.28,1767.39,0.0698985,0.0254603,0,1.08542
1073.49,1611.78,0.0898645,-0.0257564,0,1.24393
1070.46,1643.89,0.0966245,-0.00128309,0,1.20217
1082.53,1681.49,0.0871678,0.00679735,0,1.17318
1067.97,1863.27,0.0601423,0.032816,0,1.02168
1073.34,1829.15,0.063358,0.0304026,0,1.04164
1045.62,1889.92,0.0556102,0.0353206,0,0.994423
1027.74,1951.93,0.0478361,0.0361682,0,0.960879
1055.33,1586.38,0.102031,-0.0462305,0,1.28048
1062.59,1738.36,0.0857345,0.0229607,0,1.12571
1058.45,1699.15,0.0887819,0.0204206,0,1.13725
1038.59,1615.83,0.114873,-0.0231854,0,1.24496
1060.11,1800.05,0.0726572,0.0315107,0,1.06858
1014.54,1903.41,0.0524043,0.0398992,0,0.970018
995.578,1967.2,0.0405621,0.0377295,0,0.928169
1041.15,1675.28,0.105194,0.00946216,0,1.18033
1045.02,1765.23,0.0790986,0.0325698,0,1.07944
1035.2,1717.28,0.0961152,0.0294006,0,1.12318
1039.65,1645.06,0.11474,0.00480455,0,1.20179
1021.26,1857.28,0.0621062,0.0400303,0,1.00634
1045.67,1831.58,0.0650911,0.0357705,0,1.02848
995.148,1932.61,0.0492509,0.0421687,0,0.953718
1019.39,1587.92,0.153627,-0.0491704,0,1.29975
1020.04,1746.18,0.0932067,0.0367483,0,1.09642
1008.41,1645.24,0.13202,0.0175568,0,1.19839
1013.33,1807.06,0.0788868,0.0428462,0,1.05153
990.594,1867.73,0.0631452,0.0474357,0,0.990775
971.672,1897.28,0.0512705,0.0481138,0,0.948783
964.706,1936.45,0.0481301,0.0479318,0,0.939071
1002.38,1611.88,0.186663,-0.0264845,0,1.28288
996.243,1766.69,0.0831139,0.0464693,0,1.05149
995.209,1727.49,0.10697,0.0419979,0,1.11017
1001.45,1684.8,0.115472,0.0255111,0,1.15687
982.253,1824.58,0.0712674,0.050242,0,1.00888
983.445,1589.47,0.257204,-0.0254488,0,1.31667
962.14,1624.79,0.163621,0.036204,0,1.20691
963.247,1856.12,0.0636136,0.0531996,0,0.978609
933.833,1905.7,0.0479684,0.0541564,0,0.927845
961.455,1796.1,0.0821801,0.05819,0,1.02652
968.694,1664.61,0.137185,0.0424634,0,1.1834
956.012,1746.83,0.107428,0.0619387,0,1.06477
962.415,1702.85,0.11908,0.0557081,0,1.10043
936.213,1872.44,0.0619882,0.0605356,0,0.959294
923.748,1825.61,0.0704631,0.068217,0,0.972744
947.502,1591.01,0.370809,0.0400063,0,1.3168
937.598,1659.56,0.137426,0.069819,0,1.16979
924.322,1633.49,0.140125,0.0847015,0,1.15935
902.961,1874.95,0.0594269,0.0689125,0,0.93873
932.857,1776.47,0.0822519,0.0691773,0,1.00788
928.496,1609.87,0.304625,0.0858999,0,1.25383
934.385,1687.63,0.131284,0.0795599,0,1.10877
923.741,1715.39,0.125261,0.0801562,0,1.06618
912.508,1663.45,0.140811,0.0985493,0,1.14445
921.333,1748.82,0.108651,0.077692,0,1.04009
906.851,1612.04,0.31724,0.123955,0,1.25122
902.415,1590.57,0.380687,0.140445,0,1.28274
898.908,1637.43,0.144037,0.109119,0,1.13763
898.17,1776.51,0.0812297,0.082997,0,0.982764
869.595,1840.93,0.0560729,0.0798432,0,0.916723
886.653,1611.31,0.266996,0.150433,0,1.21051
891.477,1738.38,0.117894,0.101127,0,1.02835
894.357,1696.96,0.128639,0.101804,0,1.06213
882.627,1661.35,0.149099,0.12813,0,1.11367
873.23,1804,0.0783286,0.0918848,0,0.960924
878.831,1640,0.154374,0.131991,0,1.11806
854.22,1765.9,0.0806158,0.105646,0,0.948316
836.23,1806.92,0.0726453,0.105828,0,0.929289
883.388,1585.66,0.311054,0.193813,0,1.2457
866.919,1622.66,0.188907,0.165654,0,1.13743
855.118,1646.8,0.151806,0.152828,0,1.07962
857.317,1723.54,0.11349,0.121744,0,1.00155
856.042,1683.46,0.134625,0.131854,0,1.0531
866.183,1599.5,0.272536,0.20542,0,1.2184
843.438,1615.15,0.171301,0.197872,0,1.11114
802.864,1772.91,0.0652398,0.124562,0,0.894692
819.695,1739.41,0.101261,0.138893,0,0.956564
867.681,1576.27,0.28504,0.203564,0,1.22815
825.313,1636.02,0.143432,0.16836,0,1.04259
819.364,1698.13,0.10847,0.144613,0,0.968799
828.064,1663.21,0.144225,0.16693,0,1.04603
845.95,1587.17,0.212867,0.228834,0,1.18281
817.982,1604.14,0.165164,0.224958,0,1.1128
769.498,1738.89,0.0875033,0.169197,0,0.887933
797.434,1718.56,0.0984158,0.155292,0,0.930194
851.322,1563.07,0.215151,0.239938,0,1.1965
795.234,1661.1,0.132962,0.183094,0,0.996716
800.337,1630,0.13424,0.186909,0,1.00613
781.177,1697.8,0.0997888,0.163297,0,0.925427
824.561,1576.55,0.170202,0.233209,0,1.12956
785.29,1609.65,0.138157,0.219594,0,1.04824
822.081,1556.5,0.159014,0.244843,0,1.14012
798.34,1581.97,0.145097,0.229891,0,1.07899
766.251,1639.83,0.12555,0.193565,0,0.952047
754.044,1675.03,0.119097,0.193272,0,0.929933
736.133,1704.88,0.0856464,0.191323,0,0.850958
833.482,1541.64,0.129947,0.319712,0,1.21604
803.352,1556.56,0.132254,0.249545,0,1.11534
771.946,1580.89,0.132218,0.224575,0,1.03651
760.668,1605.52,0.127185,0.217682,0,1.00388
815.784,1538.9,0.101728,0.313011,0,1.19233
785.807,1564.92,0.135506,0.231284,0,1.06817
741.1,1623.55,0.123112,0.20571,0,0.938303
733.122,1649.02,0.122667,0.204504,0,0.897087
702.767,1670.87,0.125719,0.213838,0,0.846469
826.063,1524.15,0.0918627,0.345982,0,1.22971
800.641,1536.95,0.101968,0.276504,0,1.14537
785.883,1543.94,0.0969832,0.262781,0,1.11456
766.823,1553.79,0.114071,0.23443,0,1.05445
740.675,1570.69,0.12488,0.216064,0,0.982224
732.952,1600.36,0.123793,0.212606,0,0.959456
712.508,1623.02,0.125669,0.208933,0,0.892699
808.954,1519.98,0.0865247,0.31239,0,1.19198
822.678,1510.57,0.087619,0.321613,0,1.20903
789.232,1525.39,0.0842753,0.273459,0,1.13078
769.313,1528.41,0.0828601,0.254049,0,1.09459
745.873,1535.58,0.0894925,0.233408,0,1.05196
702.442,1582.27,0.127252,0.204404,0,0.915447
669.401,1636.85,0.151397,0.218119,0,0.805819
811.949,1502.14,0.0869572,0.315621,0,1.19627
796.989,1503.87,0.0834028,0.28678,0,1.14951
716.419,1556.91,0.1194,0.211434,0,0.96019
682.362,1607.97,0.134696,0.205039,0,0.870449
821.023,1491.64,0.0761838,0.327734,0,1.214
776.439,1505.96,0.0821482,0.264653,0,1.11419
754.602,1509.59,0.0825416,0.23855,0,1.0679
717.425,1528.25,0.0910559,0.210547,0,1.00259
679.728,1548.52,0.118656,0.194311,0,0.917261
666.442,1583.04,0.137303,0.194498,0,0.870238
636.036,1602.84,0.151499,0.185862,0,0.823858
805.344,1486.6,0.0521658,0.284611,0,1.17512
785.522,1483.44,0.0642906,0.266793,0,1.13547
736.011,1515.68,0.0872754,0.219911,0,1.02482
820.691,1472.64,-0.0178325,0.283759,0,1.2182
760.963,1488.34,0.0743358,0.239004,0,1.07742
727.729,1494.58,0.0847282,0.214778,0,1.01975
695.428,1513.33,0.096657,0.196842,0,0.969324
636.266,1570.98,0.146838,0.181831,0,0.833477
795.342,1466.09,0.000857521,0.248744,0,1.15812
772.509,1465.39,0.024949,0.233245,0,1.11828
666.516,1510.98,0.107824,0.181168,0,0.928918
636.978,1536.79,0.125896,0.169651,0,0.885661
602.67,1568.83,0.147968,0.165988,0,0.798982
694.697,1485.81,0.0904114,0.192984,0,0.976053
804.93,1449.56,-0.0272021,0.260539,0,1.19276
748.976,1471.08,0.0473733,0.212775,0,1.06639
666.28,1481.51,0.0996349,0.175778,0,0.940543
822.887,1441.22,-0.0416612,0.27298,0,1.21902
784.273,1444.02,-0.0032219,0.239615,0,1.15044
755.863,1443.82,0.0210585,0.213429,0,1.09589
722.01,1461.79,0.0450812,0.193065,0,1.0436
632.473,1495.1,0.120666,0.164787,0,0.895493
604.214,1526.32,0.140253,0.154722,0,0.858798
683.072,1457.29,0.0640632,0.167706,0,0.992919
801.454,1423.86,-0.0227927,0.255784,0,1.18297
569.304,1534.81,0.158461,0.143883,0,0.824289
649.502,1451.96,0.0824517,0.150152,0,0.954381
827.573,1414.63,-0.0731838,0.24184,0,1.22905
775.595,1423.43,-0.00308298,0.227259,0,1.1384
731.314,1430.86,0.0374829,0.192041,0,1.05259
708.435,1438.56,0.0518099,0.180125,0,1.02094
584.404,1488.58,0.150334,0.141579,0,0.846569
616.133,1463.8,0.105543,0.135195,0,0.914508
676.652,1411.98,0.0523025,0.150742,0,0.998331
810.006,1397.56,-0.0660388,0.179283,0,1.17704
785.997,1397.42,-0.0374154,0.174038,0,1.13674
753.295,1405.33,-0.00661893,0.170918,0,1.09458
716.966,1404.8,0.0273928,0.159819,0,1.03963
535.939,1500.8,0.182415,0.135734,0,0.804287
614.85,1427.36,0.10046,0.130551,0,0.92171
644.478,1419.6,0.0826538,0.141868,0,0.950465
839.195,1382.68,-0.104476,0.160396,0,1.21215
804.817,1372.04,-0.0625355,0.166692,0,1.16242
502.082,1466.85,0.182257,0.0869312,0,0.845117
549.757,1446.94,0.143375,0.102985,0,0.872732
588.83,1448.58,0.115841,0.122063,0,0.900791
635.401,1388.55,0.060376,0.115392,0,0.973227
772.801,1366.53,-0.0298792,0.162278,0,1.11683
738.378,1370.84,-0.000441665,0.151736,0,1.07029
702.024,1370.48,0.0237058,0.138742,0,1.02974
468.225,1432.9,0.224809,0.0459253,0,0.840704
513.482,1429.94,0.170344,0.0838521,0,0.858752
583.702,1395.06,0.0930356,0.092333,0,0.934323
663.533,1362.04,0.0419374,0.124608,0,0.999171
824.382,1350.84,-0.076543,0.157595,0,1.17683
855.244,1348.24,-0.108927,0.145041,0,1.21533
856.083,1302.65,-0.0746529,0.100442,0,1.17014
877.567,1317.5,-0.0855006,0.0911456,0,1.19477
795.588,1341.38,-0.052938,0.140304,0,1.13872
492.906,1403.98,0.156773,0.0542803,0,0.885502
434.368,1398.94,0.185899,-0.01435,0,0.892504
535.639,1396.65,0.116484,0.0726905,0,0.914641
619.607,1354.13,0.0682897,0.101842,0,0.962007
876.025,1287.2,-0.0814252,0.0880857,0,1.18776
827.065,1309.87,-0.0619359,0.108156,0,1.1439
758.039,1338.93,-0.0240689,0.12456,0,1.08757
724.021,1338.33,0.00305965,0.122882,0,1.04828
688.43,1334.51,0.0183164,0.11056,0,1.02207
899.473,1295.58,-0.0879099,0.0775431,0,1.21014
