# x,y,Bx,By,Bz,Psi
1698.03,1713.69,-0.0207697,0.00995974,0,0.799382
1699.27,1656.06,-0.0207697,0.00995974,0,0.799382
1732.98,1679.02,-0.0207697,0.00995974,0,0.799382
1656.34,1676.18,-0.0207697,0.00995974,0,0.799382
1665.56,1633.11,-0.0207697,0.00995974,0,0.799382
1630.54,1648.15,-0.0207697,0.00995974,0,0.799382
1631.84,1610.15,-0.0207697,0.00995974,0,0.799382
1644.07,1714.63,-0.0207697,0.00995974,0,0.799382
1663.07,1748.36,-0.0207697,0.00995974,0,0.799382
1592.24,1634.39,-0.0207697,0.00995974,0,0.799382
1606.72,1686.93,-0.0207697,0.00995974,0,0.799382
1607.04,1741.36,-0.0207697,0.00995974,0,0.799382
1598.13,1587.19,-0.0207697,0.00995974,0,0.799382
1628.12,1783.04,-0.0207697,0.00995974,0,0.799382
1556.89,1598.51,-0.0207697,0.00995974,0,0.799382
1562.5,1671.76,-0.0207697,0.00995974,0,0.799382
1586.88,1780.68,-0.0207697,0.00995973,0,0.799382
1565.14,1715.64,-0.0207697,0.00995973,0,0.799382
1564.42,1564.24,-0.0207697,0.00995974,0,0.799382
1551.53,1634.91,-0.0207697,0.00995974,0,0.799382
1593.16,1817.71,-0.0207697,0.00995973,0,0.799382
1556.53,1758.21,-0.0207697,0.00995973,0,0.799382
1518.3,1566.23,-0.0207697,0.00995974,0,0.799382
1526.62,1697.03,-0.0207697,0.00995973,0,0.799382
1516.76,1605.45,-0.0207697,0.00995974,0,0.799382
1520.35,1652.46,-0.0207697,0.00995973,0,0.799382
1543.56,1805.61,-0.0207697,0.00995973,0,0.799382
1511.18,1739.83,-0.0207697,0.00995973,0,0.799382
1558.21,1852.38,-0.0207698,0.00995973,0,0.799382
1526.66,1772.51,-0.0207697,0.00995973,0,0.799382
1496.15,1707.99,-0.0207697,0.00995973,0,0.799382
1472.18,1568.22,-0.0207697,0.00995974,0,0.799382
1523.25,1887.05,-0.0207698,0.00995973,0,0.799382
1504.42,1838.15,-0.0207698,0.00995973,0,0.799382
1483.33,1677.39,-0.0207697,0.00995973,0,0.799382
1481.38,1628.2,-0.0207697,0.00995973,0,0.799382
1495.36,1786.4,-0.0207697,0.00995973,0,0.799382
1466.26,1722.57,-0.0207697,0.00995973,0,0.799382
1488.3,1921.72,-0.0207698,0.00995972,0,0.799382
1478.55,1882.95,-0.0207698,0.00995972,0,0.799382
1471.76,1756.55,-0.0207697,0.00995973,0,0.799382
1443.89,1609.22,-0.0207697,0.00995973,0,0.799382
1453.34,1956.4,-0.0298382,0.00524989,0,0.802908
1451.47,1919.22,-0.0207698,0.00995972,0,0.799382
1453.27,1850.93,-0.0207698,0.00995972,0,0.799382
1437.78,1702.6,-0.0207697,0.00995973,0,0.799382
1438.3,1660.06,-0.0207697,0.00995973,0,0.799382
1462.28,1813,-0.0207698,0.00995973,0,0.799382
1443.15,1742.71,-0.0207697,0.00995973,0,0.799382
1445.17,1780.05,-0.0207697,0.00995973,0,0.799382
1426.06,1570.21,-0.0207697,0.00995973,0,0.799382
1408.19,1941.18,-0.0298382,0.00524989,0,0.802908
1424.58,1888.75,-0.0298382,0.00524989,0,0.802908
1413.18,1809.48,-0.0207698,0.00995972,0,0.799382
1401.56,1619.41,-0.0207697,0.00995973,0,0.799382
1418.39,1991.07,-0.0298382,0.00524988,0,0.802908
1383.43,2025.74,-0.0298382,0.00524988,0,0.802908
1364.26,1984.95,-0.0298382,0.00524988,0,0.802908
1412.68,1849.74,-0.0207698,0.00995972,0,0.799382
1400.53,1748.22,-0.0207697,0.00995972,0,0.799382
1399.7,1696.17,-0.0207697,0.00995973,0,0.799382
1379.94,1572.2,-0.0207697,0.00995973,0,0.799382
1394.53,1660.2,-0.0207697,0.00995973,0,0.799382
1333.29,2024.17,-0.0298382,0.00524988,0,0.802908
1377.81,1904.24,-0.0298382,0.00524989,0,0.802908
1377.94,1864.98,-0.0298382,0.00524989,0,0.802908
1348.48,2060.41,-0.0298382,0.00524988,0,0.802908
1376.39,1828.99,-0.0298382,0.00524989,0,0.802908
1359.27,1605.53,-0.0207697,0.00995973,0,0.799382
1362.22,1644.81,-0.0207697,0.00995972,0,0.799382
1365.65,1685.63,-0.0207697,0.00995972,0,0.799382
1359.86,1939.63,-0.0298382,0.00524989,0,0.802908
1315.74,1993.22,-0.0298382,0.00524988,0,0.802908
1305.1,2060.25,-0.0298382,0.00524988,0,0.802908
1359.22,1722.11,-0.0207697,0.00995972,0,0.799382
1367.36,1793.2,-0.0207698,0.00995972,0,0.799382
1334.02,1574.21,-0.0207697,0.00995973,0,0.799382
1318.62,1617.04,-0.0207697,0.00995972,0,0.799382
1282.73,2020.45,-0.0298382,0.00524988,0,0.802908
1321.75,1953.09,-0.0298382,0.00524988,0,0.802908
1325.21,1909.75,-0.0298382,0.00524989,0,0.802908
1340.38,1831.6,-0.0298382,0.00524989,0,0.802908
1341.95,1873.69,-0.0298382,0.00524989,0,0.802908
1351.98,1757.29,-0.0207698,0.00995972,0,0.799382
1314.79,1663.62,-0.0207697,0.00995972,0,0.799382
1326.91,1702.92,-0.0207697,0.00995972,0,0.799382
1283.31,1976.09,-0.0298382,0.00524988,0,0.802908
1305.45,1864.38,-0.0298382,0.00524989,0,0.802908
1261.72,2060.1,-0.0298382,0.00524988,0,0.802908
1314.31,1743.08,-0.0298381,0.0052499,0,0.802908
1324.92,1787.41,-0.0298381,0.00524989,0,0.802908
1288.11,1576.21,-0.0207697,0.00995972,0,0.799382
1285.72,1636.67,-0.0207697,0.00995972,0,0.799382
1246.33,1995.04,-0.0298382,0.00524988,0,0.802908
1279.06,1932.61,-0.0298382,0.00524988,0,0.802908
1286.36,1895.77,-0.0298382,0.00524989,0,0.802908
1241.34,2030.75,-0.0298382,0.00524988,0,0.802908
1287.74,1821.52,-0.0298382,0.00524989,0,0.802908
1278.39,1608.04,-0.0207697,0.00995972,0,0.799382
1288.61,1700.13,-0.0207697,0.00995972,0,0.799382
1267.33,1663.6,-0.0207697,0.00995972,0,0.799382
1254.25,1962.1,-0.0298382,0.00524988,0,0.802908
1267.12,1860.22,-0.0298382,0.00524989,0,0.802908
1197.58,2018.23,-0.0298382,0.00524988,0,0.802908
1218.34,2059.94,-0.0298382,0.00524988,0,0.802908
1271.57,1777.64,-0.0298381,0.00524989,0,0.802908
1248.29,1626.23,-0.0207697,0.00995972,0,0.799382
1242.19,1578.22,-0.0207697,0.00995972,0,0.799382
1269.62,1735.52,-0.0298381,0.0052499,0,0.802908
1215.72,1976.97,-0.0298382,0.00524988,0,0.802908
1251.24,1892,-0.0298382,0.00524989,0,0.802908
1232.47,1937.67,-0.0298382,0.00524988,0,0.802908
1245.38,1822.19,-0.0298382,0.00524989,0,0.802908
1246.87,1697.42,-0.0298381,0.0052499,0,0.802908
1219.73,1657.54,-0.0298381,0.0052499,0,0.802908
1228.62,1864.59,-0.0298382,0.00524989,0,0.802908
1178.44,1986.63,-0.0298382,0.00524988,0,0.802908
1174.96,2059.78,-0.0298382,0.00524988,0,0.802908
1230.11,1746.9,-0.0298381,0.00524989,0,0.802908
1223.32,1785.75,-0.0298382,0.00524989,0,0.802908
1206.25,1620.19,-0.0298381,0.0052499,0,0.802908
1185.6,1958.27,-0.0298382,0.00524988,0,0.802908
1220.29,1905.28,-0.0298382,0.00524988,0,0.802908
1149.67,2003.55,-0.0298382,0.00524988,0,0.802908
1153.35,2036.62,-0.0298382,0.00524988,0,0.802908
1131.58,2059.62,-0.0298382,0.00524987,0,0.802908
1198.25,1830.53,-0.0298382,0.00524989,0,0.802908
1196.27,1580.22,-0.0207697,0.00995971,0,0.799382
1206.03,1704.78,-0.0298381,0.0052499,0,0.802908
1176.66,1641.33,-0.0298381,0.0052499,0,0.802908
1187.5,1917.32,-0.0298382,0.00524988,0,0.802908
1189.46,1877.33,-0.0298382,0.00524989,0,0.802908
1144.26,1968.41,-0.0298382,0.00524988,0,0.802908
1109.02,2022.74,-0.0298382,0.00524988,0,0.802908
1187.16,1752.34,-0.0298381,0.00524989,0,0.802908
1186.67,1791.95,-0.0298382,0.00524989,0,0.802908
1173.37,1608.22,-0.0298381,0.0052499,0,0.802908
1182.33,1676.23,-0.0298381,0.0052499,0,0.802908
1141.23,1932.15,-0.0298382,0.00524988,0,0.802908
1109.35,1971.46,-0.0298382,0.00524988,0,0.802908
1088.2,2059.46,-0.0298382,0.00524987,0,0.802908
1164.47,1810.62,-0.0298382,0.00524989,0,0.802908
1149.29,1582.28,-0.0298381,0.0052499,0,0.802908
1165.23,1711.22,-0.0298381,0.0052499,0,0.802908
1137.53,1624.03,-0.0298381,0.0052499,0,0.802908
1147.95,1669.29,-0.0298381,0.0052499,0,0.802908
1155.97,1893.22,-0.0298382,0.00524988,0,0.802908
1152.64,1847.38,-0.0298382,0.00524989,0,0.802908
1057.32,2028.71,-0.0298382,0.00524987,0,0.802908
1159.68,1779.36,-0.0298382,0.00524989,0,0.802908
1137.01,1749.14,-0.0298382,0.00524989,0,0.802908
1114.44,1887.66,-0.0298382,0.00524988,0,0.802908
1092.02,1930.37,-0.0298382,0.00524988,0,0.802908
1073.18,1997.96,-0.0298382,0.00524988,0,0.802908
1130.27,1800.07,-0.0298382,0.00524989,0,0.802908
1102.31,1584.33,-0.0298381,0.0052499,0,0.802908
1126.08,1698,-0.0298381,0.00524989,0,0.802908
1112.67,1657.33,-0.0298381,0.0052499,0,0.802908
1062.78,1965.31,-0.0298382,0.00524988,0,0.802908
1026.45,1997.96,-0.0298382,0.00524987,0,0.802908
1106.08,1837.81,-0.0298382,0.00524989,0,0.802908
1100.37,1627.37,-0.0298381,0.0052499,0,0.802908
1091.07,1719.71,-0.0298382,0.00524989,0,0.802908
1073.82,1900.27,-0.0298382,0.00524988,0,0.802908
1050.88,1924.13,-0.0298382,0.00524988,0,0.802908
1091.82,1806.89,-0.0298382,0.00524989,0,0.802908
1089.28,1767.39,-0.0298382,0.00524989,0,0.802908
1073.49,1611.78,-0.0298381,0.0052499,0,0.802908
1070.46,1643.89,-0.0298381,0.0052499,0,0.802908
1082.53,1681.49,-0.0298381,0.00524989,0,0.802908
1067.97,1863.27,-0.0298382,0.00524988,0,0.802908
1073.34,1829.15,-0.0298382,0.00524988,0,0.802908
1045.62,1889.92,-0.0298382,0.00524988,0,0.802908
1027.74,1951.93,-0.0298382,0.00524988,0,0.802908
1055.33,1586.38,-0.0298381,0.0052499,0,0.802908
1062.59,1738.36,-0.0298382,0.00524989,0,0.802908
1058.45,1699.15,-0.0298382,0.00524989,0,0.802908
1038.59,1615.83,-0.0298381,0.0052499,0,0.802908
1060.11,1800.05,-0.0298382,0.00524989,0,0.802908
1014.54,1903.41,-0.0298382,0.00524988,0,0.802908
995.578,1967.2,-0.0298382,0.00524987,0,0.802908
1041.15,1675.28,-0.0298381,0.00524989,0,0.802908
1045.02,1765.23,-0.0298382,0.00524989,0,0.802908
1035.2,1717.28,-0.0298382,0.00524989,0,0.802908
1039.65,1645.06,-0.0298381,0.0052499,0,0.802908
1021.26,1857.28,-0.0298382,0.00524988,0,0.802908
1045.67,1831.58,-0.0298382,0.00524988,0,0.802908
995.148,1932.61,-0.0298382,0.00524988,0,0.802908
1019.39,1587.92,-0.0298381,0.0052499,0,0.802908
1020.04,1746.18,-0.0298382,0.00524989,0,0.802908
1008.41,1645.24,-0.0298381,0.00524989,0,0.802908
1013.33,1807.06,-0.0298382,0.00524988,0,0.802908
990.594,1867.73,-0.0298382,0.00524988,0,0.802908
971.672,1897.28,-0.0298382,0.00524988,0,0.802908
964.706,1936.45,-0.0298382,0.00524988,0,0.802908
1002.38,1611.88,-0.0298381,0.0052499,0,0.802908
996.243,1766.69,-0.0298382,0.00524989,0,0.802908
995.209,1727.49,-0.0298382,0.00524989,0,0.802908
1001.45,1684.8,-0.0298382,0.00524989,0,0.802908
982.253,1824.58,-0.0298382,0.00524988,0,0.802908
983.445,1589.47,-0.0298381,0.0052499,0,0.802908
962.14,1624.79,-0.0298381,0.00524989,0,0.802908
963.247,1856.12,-0.0298382,0.00524988,0,0.802908
933.833,1905.7,-0.0298382,0.00524988,0,0.802908
961.455,1796.1,-0.0298382,0.00524988,0,0.802908
968.694,1664.61,-0.0298382,0.00524989,0,0.802908
956.012,1746.83,-0.0298382,0.00524989,0,0.802908
962.415,1702.85,-0.0298382,0.00524989,0,0.802908
936.213,1872.44,-0.0298382,0.00524988,0,0.802908
923.748,1825.61,-0.0298382,0.00524988,0,0.802908
947.502,1591.01,-0.0298381,0.0052499,0,0.802908
937.598,1659.56,-0.0298382,0.00524989,0,0.802908
924.322,1633.49,-0.0298382,0.00524989,0,0.802908
902.961,1874.95,-0.0298382,0.00524988,0,0.802908
932.857,1776.47,-0.0298382,0.00524988,0,0.802908
928.496,1609.87,-0.0298381,0.00524989,0,0.802908
934.385,1687.63,-0.0298382,0.00524989,0,0.802908
923.741,1715.39,-0.0298382,0.00524989,0,0.802908
912.508,1663.45,-0.0298382,0.00524989,0,0.802908
921.333,1748.82,-0.0298382,0.00524988,0,0.802908
906.851,1612.04,-0.0298381,0.00524989,0,0.802908
902.415,1590.57,-0.0298381,0.00524989,0,0.802908
898.908,1637.43,-0.0298382,0.00524989,0,0.802908
898.17,1776.51,-0.0298382,0.00524988,0,0.802908
869.595,1840.93,-0.0298382,0.00524988,0,0.802908
886.653,1611.31,-0.0298382,0.00524989,0,0.802908
891.477,1738.38,-0.0298382,0.00524988,0,0.802908
894.357,1696.96,-0.0298382,0.00524989,0,0.802908
882.627,1661.35,-0.0298382,0.00524989,0,0.802908
873.23,1804,-0.0298382,0.00524988,0,0.802908
878.831,1640,-0.0298382,0.00524989,0,0.802908
854.22,1765.9,-0.0298382,0.00524988,0,0.802908
836.23,1806.92,-0.0298382,0.00524988,0,0.802908
883.388,1585.66,-0.0298381,0.00524989,0,0.802908
866.919,1622.66,-0.0298382,0.00524989,0,0.802908
855.118,1646.8,-0.0298382,0.00524989,0,0.802908
857.317,1723.54,-0.0298382,0.00524988,0,0.802908
856.042,1683.46,-0.0298382,0.00524989,0,0.802908
866.183,1599.5,-0.0298382,0.00524989,0,0.802908
843.438,1615.15,-0.0298382,0.00524989,0,0.802908
802.864,1772.91,-0.0298382,0.00524988,0,0.802908
819.695,1739.41,-0.0298382,0.00524988,0,0.802908
867.681,1576.27,-0.0298381,0.00524989,0,0.802908
825.313,1636.02,-0.0298382,0.00524989,0,0.802908
819.364,1698.13,-0.0298382,0.00524988,0,0.802908
828.064,1663.21,-0.0298382,0.00524989,0,0.802908
845.95,1587.17,-0.0298382,0.00524989,0,0.802908
817.982,1604.14,-0.0298382,0.00524989,0,0.802908
769.498,1738.89,-0.0298382,0.00524988,0,0.802908
797.434,1718.56,-0.0298382,0.00524988,0,0.802908
851.322,1563.07,-0.0298381,0.00524989,0,0.802908
795.234,1661.1,-0.0298382,0.00524988,0,0.802908
800.337,1630,-0.0298382,0.00524989,0,0.802908
781.177,1697.8,-0.0298382,0.00524988,0,0.802908
824.561,1576.55,-0.0298382,0.00524989,0,0.802908
785.29,1609.65,-0.0298382,0.00524989,0,0.802908
822.081,1556.5,-0.0298381,0.00524989,0,0.802908
798.34,1581.97,-0.0298382,0.00524989,0,0.802908
766.251,1639.83,-0.0298382,0.00524988,0,0.802908
754.044,1675.03,-0.0298382,0.00524988,0,0.802908
736.133,1704.88,-0.0298382,0.00524988,0,0.802908
833.482,1541.64,-0.0298381,0.00524989,0,0.802908
803.352,1556.56,-0.0298382,0.00524989,0,0.802908
771.946,1580.89,-0.0298382,0.00524989,0,0.802908
760.668,1605.52,-0.0298382,0.00524989,0,0.802908
815.784,1538.9,-0.0298381,0.00524989,0,0.802908
785.807,1564.92,-0.0298382,0.00524989,0,0.802908
741.1,1623.55,-0.0298382,0.00524988,0,0.802908
733.122,1649.02,-0.0298382,0.00524988,0,0.802908
702.767,1670.87,-0.0298382,0.00524988,0,0.802908
826.063,1524.15,-0.0298381,0.0052499,0,0.802908
800.641,1536.95,-0.0298381,0.00524989,0,0.802908
785.883,1543.94,-0.0298382,0.00524989,0,0.802908
766.823,1553.79,-0.0298382,0.00524989,0,0.802908
740.675,1570.69,-0.0298382,0.00524989,0,0.802908
732.952,1600.36,-0.0298382,0.00524988,0,0.802908
712.508,1623.02,-0.0298382,0.00524988,0,0.802908
808.954,1519.98,-0.0298381,0.0052499,0,0.802908
822.678,1510.57,-0.0298381,0.0052499,0,0.802908
789.232,1525.39,-0.0298381,0.00524989,0,0.802908
769.313,1528.41,-0.0298382,0.00524989,0,0.802908
745.873,1535.58,-0.0298382,0.00524989,0,0.802908
702.442,1582.27,-0.0298382,0.00524988,0,0.802908
669.401,1636.85,-0.0298382,0.00524988,0,0.802908
811.949,1502.14,-0.0298381,0.0052499,0,0.802908
796.989,1503.87,-0.0298381,0.0052499,0,0.802908
716.419,1556.91,-0.0298382,0.00524989,0,0.802908
682.362,1607.97,-0.0298382,0.00524988,0,0.802908
821.023,1491.64,-0.0298381,0.0052499,0,0.802908
776.439,1505.96,-0.0298381,0.00524989,0,0.802908
754.602,1509.59,-0.0298381,0.00524989,0,0.802908
717.425,1528.25,-0.0298382,0.00524989,0,0.802908
679.728,1548.52,-0.0298382,0.00524988,0,0.802908
666.442,1583.04,-0.0298382,0.00524988,0,0.802908
636.036,1602.84,-0.0298382,0.00524988,0,0.802908
805.344,1486.6,-0.0298381,0.0052499,0,0.802908
785.522,1483.44,-0.0298381,0.0052499,0,0.802908
736.011,1515.68,-0.0298382,0.00524989,0,0.802908
820.691,1472.64,-0.0298381,0.0052499,0,0.802908
760.963,1488.34,-0.0298381,0.0052499,0,0.802908
727.729,1494.58,-0.0298382,0.00524989,0,0.802908
695.428,1513.33,-0.0298382,0.00524989,0,0.802908
636.266,1570.98,-0.0298382,0.00524988,0,0.802908
795.342,1466.09,-0.0298381,0.0052499,0,0.802908
772.509,1465.39,-0.0298381,0.0052499,0,0.802908
666.516,1510.98,-0.0298382,0.00524989,0,0.802908
636.978,1536.79,-0.0298382,0.00524988,0,0.802908
602.67,1568.83,-0.0298382,0.00524988,0,0.802908
694.697,1485.81,-0.0298382,0.00524989,0,0.802908
804.93,1449.56,-0.0298381,0.0052499,0,0.802908
748.976,1471.08,-0.0298381,0.0052499,0,0.802908
666.28,1481.51,-0.0298382,0.00524989,0,0.802908
822.887,1441.22,-0.0298381,0.0052499,0,0.802908
784.273,1444.02,-0.0298381,0.0052499,0,0.802908
755.863,1443.82,-0.0298381,0.0052499,0,0.802908
722.01,1461.79,-0.0298381,0.00524989,0,0.802908
632.473,1495.1,-0.0298382,0.00524989,0,0.802908
604.214,1526.32,-0.0298382,0.00524988,0,0.802908
683.072,1457.29,-0.0298382,0.00524989,0,0.802908
801.454,1423.86,-0.0298381,0.0052499,0,0.802908
569.304,1534.81,-0.0298382,0.00524988,0,0.802908
649.502,1451.96,-0.0298382,0.00524989,0,0.802908
827.573,1414.63,-0.0298381,0.00524991,0,0.802908
775.595,1423.43,-0.0298381,0.0052499,0,0.802908
731.314,1430.86,-0.0298381,0.0052499,0,0.802908
708.435,1438.56,-0.0298381,0.0052499,0,0.802908
584.404,1488.58,-0.0298382,0.00524988,0,0.802908
616.133,1463.8,-0.0298382,0.00524989,0,0.802908
676.652,1411.98,-0.0298381,0.0052499,0,0.802908
810.006,1397.56,-0.0298381,0.00524991,0,0.802908
785.997,1397.42,-0.0298381,0.00524991,0,0.802908
753.295,1405.33,-0.0298381,0.0052499,0,0.802908
716.966,1404.8,-0.0298381,0.0052499,0,0.802908
535.939,1500.8,-0.0298382,0.00524988,0,0.802908
614.85,1427.36,-0.0298382,0.00524989,0,0.802908
644.478,1419.6,-0.0298381,0.00524989,0,0.802908
839.195,1382.68,-0.0298381,0.00524991,0,0.802908
804.817,1372.04,-0.0298381,0.00524991,0,0.802908
502.082,1466.85,-0.0298382,0.00524988,0,0.802908
549.757,1446.94,-0.0298382,0.00524988,0,0.802908
588.83,1448.58,-0.0298382,0.00524989,0,0.802908
635.401,1388.55,-0.0298381,0.0052499,0,0.802908
772.801,1366.53,-0.0298381,0.00524991,0,0.802908
738.378,1370.84,-0.0298381,0.0052499,0,0.802908
702.024,1370.48,-0.0298381,0.0052499,0,0.802908
468.225,1432.9,-0.0298382,0.00524987,0,0.802908
513.482,1429.94,-0.0298382,0.00524988,0,0.802908
583.702,1395.06,-0.0298382,0.00524989,0,0.802908
663.533,1362.04,-0.0298381,0.0052499,0,0.802908
824.382,1350.84,-0.0298381,0.00524991,0,0.802908
855.244,1348.24,-0.0298381,0.00524991,0,0.802908
856.083,1302.65,-0.0298381,0.00524992,0,0.802908
877.567,1317.5,-0.0298381,0.00524992,0,0.802908
795.588,1341.38,-0.0298381,0.00524991,0,0.802908
492.906,1403.98,-0.0298382,0.00524988,0,0.802908
434.368,1398.94,-0.0298382,0.00524987,0,0.802908
535.639,1396.65,-0.0298382,0.00524989,0,0.802908
619.607,1354.13,-0.0298381,0.0052499,0,0.802908
876.025,1287.2,-0.029838,0.00524992,0,0.802908
827.065,1309.87,-0.0298381,0.00524992,0,0.802908
758.039,1338.93,-0.0298381,0.00524991,0,0.802908
724.021,1338.33,-0.0298381,0.00524991,0,0.802908
688.43,1334.51,-0.0298381,0.00524991,0,0.802908
899.473,1295.58,-0.029838,0.00524992,0,0.802908
484.782,1363.86,-0.0298382,0.00524988,0,0.802908
647.212,1330.94,-0.0298381,0.0052499,0,0.802908
855.325,1273.36,-0.029838,0.00524992,0,0.802908
779.701,1311.44,-0.0298381,0.00524991,0,0.802908
